,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,GEOID,Sub_geo,geometry
817,10091820025,3714 MEADOWVIEW DR,3/5/20,2020,3,2020-3,65000,1971,1440,45.13888889,13097080602,South Douglas,POINT (-84.6641361 33.73915)
834,9231820011,2326 CHESTNUT LOG DR,3/9/20,2020,3,2020-3,180000,1983,1282,140.4056162,13097080602,South Douglas,POINT (-84.6515294 33.7472026)
854,1550150355,3196 ANCOATS ST,3/13/20,2020,3,2020-3,296626,2019,2798,106.0135811,13097080602,South Douglas,POINT (-84.6401259 33.7176718)
855,1550150295,9890 ASHFORD GREEN WAY,4/14/20,2020,4,2020-4,354990,2019,2550,139.2117647,13097080602,South Douglas,POINT (-84.6423136 33.713904)
870,1490150139,3305 LAKE VALLEY WAY,4/30/20,2020,4,2020-4,350000,2005,3306,105.8681186,13097080602,South Douglas,POINT (-84.6532349 33.71309)
871,1550150398,3227 ANCOATS ST,4/30/20,2020,4,2020-4,396990,2019,3668,108.2306434,13097080602,South Douglas,POINT (-84.6416587 33.7164102)
875,1540150012,3195 ANCOATS ST,4/30/20,2020,4,2020-4,386883,2019,3122,123.9215247,13097080602,South Douglas,POINT (-84.6397988 33.7179624)
885,1550150039,3298 DARBY DR,4/30/20,2020,4,2020-4,357615,2019,2562,139.5843091,13097080602,South Douglas,POINT (-84.6464819 33.7109584)
889,1550150139,3143 PRIMROSE ST,4/28/20,2020,4,2020-4,258000,2006,2079,124.0981241,13097080602,South Douglas,POINT (-84.6415549 33.712903)
905,9251820039,2068 E LOTUS POINT DR,4/24/20,2020,4,2020-4,175000,1990,1472,118.8858696,13097080602,South Douglas,POINT (-84.641066 33.7470109)
906,1540150015,9879 ASHTON OLD RD,4/24/20,2020,4,2020-4,398387,2019,3018,132.0036448,13097080602,South Douglas,POINT (-84.6382046 33.7176757)
909,1550150228,3214 WHELDON WAY,4/24/20,2020,4,2020-4,374900,2006,2989,125.4265641,13097080602,South Douglas,POINT (-84.644336 33.7146756)
931,1550150152,3130 CUNNINGHAM LN,4/17/20,2020,4,2020-4,230000,2006,1582,145.3855879,13097080602,South Douglas,POINT (-84.6424931 33.7125046)
941,1550150354,3194 ANCOATS ST,4/16/20,2020,4,2020-4,282340,2019,2460,114.7723577,13097080602,South Douglas,POINT (-84.6399624 33.7175777)
947,1500150050,2480 WASHINGTON DR,4/15/20,2020,4,2020-4,360000,2007,3241,111.0768281,13097080602,South Douglas,POINT (-84.6567195 33.7211761)
979,9591820034,2162 CEDAR CREEK LN,4/8/20,2020,4,2020-4,170000,1988,1220,139.3442623,13097080602,South Douglas,POINT (-84.6515703 33.745028)
995,1550150418,3187 ANCOATS ST,4/3/20,2020,4,2020-4,385911,2019,3122,123.6101858,13097080602,South Douglas,POINT (-84.6389404 33.7174898)
1019,10081820021,8964 MEADOW DR,3/31/20,2020,3,2020-3,96450,1972,1056,91.33522727,13097080602,South Douglas,POINT (-84.6569647 33.7372951)
1027,1540150014,9881 ASHTON OLD RD,3/30/20,2020,3,2020-3,473897,2019,4633,102.2872869,13097080602,South Douglas,POINT (-84.638409 33.7175974)
1034,1550150270,3195 BRANTINGHAM RD,3/30/20,2020,3,2020-3,309990,2019,2364,131.1294416,13097080602,South Douglas,POINT (-84.641393 33.7141999)
1046,1550150262,3215 BLACKLEY OLD RD,3/27/20,2020,3,2020-3,375931,2019,3234,116.2433519,13097080602,South Douglas,POINT (-84.6414748 33.7149872)
1066,8901820031,2406 JUSTINE TER,3/25/20,2020,3,2020-3,160000,1979,1656,96.61835749,13097080602,South Douglas,POINT (-84.6545536 33.7511202)
1080,1550150271,3197 BRANTINGHAM RD,3/20/20,2020,3,2020-3,350000,2007,2939,119.0881252,13097080602,South Douglas,POINT (-84.641577 33.7141425)
1087,1550150130,3148 PRIMROSE ST,3/20/20,2020,3,2020-3,345000,2005,2436,141.6256158,13097080602,South Douglas,POINT (-84.6420675 33.7132929)
1092,1550150290,3217 BAKEWELL ST,3/20/20,2020,3,2020-3,259900,2006,1855,140.1078167,13097080602,South Douglas,POINT (-84.6430221 33.7147012)
1116,1550150062,9973 DEVONSHIRE ST,3/16/20,2020,3,2020-3,395000,2006,3442,114.7588611,13097080602,South Douglas,POINT (-84.6471287 33.7133369)
1141,1550150349,3184 ANCOATS ST,3/10/20,2020,3,2020-3,286887,2019,2497,114.8926712,13097080602,South Douglas,POINT (-84.6392674 33.7171992)
1142,1550150365,3220 COLCHESTER ST,3/10/20,2020,3,2020-3,266800,2019,2254,118.3673469,13097080602,South Douglas,POINT (-84.6401667 33.7167157)
1143,1490150158,2483 MANAL WAY,3/10/20,2020,3,2020-3,375900,2004,3345,112.3766816,13097080602,South Douglas,POINT (-84.6531028 33.7135961)
1145,1550150160,3114 CUNNINGHAM LN,3/9/20,2020,3,2020-3,257650,2006,1980,130.1262626,13097080602,South Douglas,POINT (-84.6414716 33.7124546)
1146,1550150251,3237 BLACKLEY OLD RD,3/9/20,2020,3,2020-3,423306,2019,3716,113.9144241,13097080602,South Douglas,POINT (-84.6444178 33.7157677)
1153,10111820021,104 LEGACY PARK DR,3/6/20,2020,3,2020-3,215000,2006,1780,120.7865169,13097080602,South Douglas,POINT (-84.6739956 33.7396568)
1159,1550150370,3210 COLCHESTER ST,3/5/20,2020,3,2020-3,265405,2019,2468,107.5384927,13097080602,South Douglas,POINT (-84.6407799 33.7170035)
1185,9231820029,2274 CHESTNUT LOG LOOP,12/3/21,2021,12,2021-12,170000,1974,1100,154.5454545,13097080602,South Douglas,POINT (-84.6496075 33.748814)
1187,9251820033,1910 YACHT CT,12/28/21,2021,12,2021-12,255000,1992,1590,160.3773585,13097080602,South Douglas,POINT (-84.6426193 33.7473828)
1224,9581820035,2070 WINDY OAKS CT,12/4/20,2020,12,2020-12,209700,1990,1372,152.8425656,13097080602,South Douglas,POINT (-84.64426794 33.74554617)
1246,1480150095,3470 PALMER LAKE PTE,12/16/21,2021,12,2021-12,193000,2001,1745,110.6017192,13097080602,South Douglas,POINT (-84.6556107 33.7093726)
1257,1550150314,9938 ASHTON OLD RD,12/6/21,2021,12,2021-12,370000,2007,1860,198.9247312,13097080602,South Douglas,POINT (-84.6403661 33.7135606)
1324,1490150211,3317 SURVEYOR CT,12/22/21,2021,12,2021-12,361000,2006,2988,120.8165997,13097080602,South Douglas,POINT (-84.6523672 33.7157414)
1330,9581820032,2180 COUNTRY OAKS DR,6/4/19,2019,6,2019-6,120000,1989,1210,99.17355372,13097080602,South Douglas,POINT (-84.6438927 33.74490719)
1348,1310150009,3576 SAGE DR,12/20/21,2021,12,2021-12,197000,1972,1056,186.5530303,13097080602,South Douglas,POINT (-84.6601112 33.734906)
1355,1570150072,3971 PARK RD,12/17/21,2021,12,2021-12,149000,1953,1184,125.8445946,13097080602,South Douglas,POINT (-84.6447448 33.6967522)
1372,1300150071,2102 LEGACY PARK DR,12/15/21,2021,12,2021-12,255000,2006,1780,143.258427,13097080602,South Douglas,POINT (-84.6739296 33.7391357)
1410,9251820050,2067 E LOTUS POINT DR,12/10/21,2021,12,2021-12,255000,1991,1670,152.6946108,13097080602,South Douglas,POINT (-84.6407799 33.7475208)
1429,1550150469,9970 ASHTON OLD RD,12/6/21,2021,12,2021-12,305000,2007,2236,136.4042934,13097080602,South Douglas,POINT (-84.6389232 33.7122408)
1435,9241820001,2200 CHESTNUT CIR,12/3/21,2021,12,2021-12,210000,1973,1100,190.9090909,13097080602,South Douglas,POINT (-84.6471971 33.7478422)
1485,1550150265,9925 ASHTON OLD RD,7/29/22,2022,7,2022-7,423000,2008,2020,209.4059406,13097080602,South Douglas,POINT (-84.6409899 33.7146214)
1540,9571820028,2158 HUCKLEBERRY LN,7/21/22,2022,7,2022-7,274000,2019,1804,151.8847007,13097080602,South Douglas,POINT (-84.6395127 33.7456377)
